Fixed: TYT,FYE year (2023/2024/2025),See dropdown,Unnamed: 3,As printed in report,Exact unit string from report,See dropdown.1,See dropdown.2,Document title,Page number,"Anomalies, caveats, methodology notes"
company_id,fiscal_year,scope,disclosed,value_reported,unit_reported,boundary_method,verification_status,source_document,source_page,notes
TYT,2023,Scope 1,Yes,2.37,million t-CO₂,Not Stated,Third-party assured,Toyota Sustainability Data Book 2025,60,GHG Protocol Corporate Standard; consolidated basis; Energy-related CO2 emissions
TYT,2023,Scope 2 (market-based),Yes,2.87,million t-CO₂,Not Stated,Third-party assured,Toyota Sustainability Data Book 2025,60,Third-party assured value; GHG Protocol Corporate Standard - Market-based; consolidated basis; Energy-related CO2 emissions
TYT,2023,Scope 2 (location-based),No,,,Not Stated,Not assured,Toyota Sustainability Data Book 2025,60,No location-based figures availalble; calculation method limited to market-based accounting
TYT,2023,Scope 3 Total,Yes,588.76,million t-CO₂e,Not Stated,Third-party assured,Toyota Sustainability Data Book 2025,61,"Emissions from consolidated companies and customers that are linked to the business activities of consolidated subsidiaries are covered. However, this year’s calculation scope is limited to the automotive sector, which represents the majority of sales. The scope covers all business areas for categories where it is difficult to separate data for each business."
TYT,2024,Scope 1,Yes,2.56,million t-CO₂,Not Stated,Third-party assured,Toyota Sustainability Data Book 2025,60,GHG Protocol Corporate Standard; consolidated basis; Energy-related CO2 emissions
TYT,2024,Scope 2 (market-based),Yes,2.87,million t-CO₂,Not Stated,Third-party assured,Toyota Sustainability Data Book 2025,60,Third-party assured value; GHG Protocol Corporate Standard - Market-based; consolidated basis; Energy-related CO2 emissions
TYT,2024,Scope 2 (location-based),No,,,Not Stated,Not assured,Toyota Sustainability Data Book 2025,60,No location-based figures availalble; calculation method limited to market-based accounting
TYT,2024,Scope 3 Total,Yes,594.83,million t-CO₂e,Not Stated,Third-party assured,Toyota Sustainability Data Book 2025,61,"Emissions from consolidated companies and customers that are linked to the business activities of consolidated subsidiaries are covered. However, this year’s calculation scope is limited to the automotive sector, which represents the majority of sales. The scope covers all business areas for categories where it is difficult to separate data for each business."
TYT,2025,Scope 1,Yes,2.45,million t-CO₂,Not Stated,Third-party assured,Toyota Sustainability Data Book 2025,60,Third-party assured value; GHG Protocol Corporate Standard; consolidated basis; Energy-related CO2 emissions
TYT,2025,Scope 2 (market-based),Yes,2.52,million t-CO₂,Not Stated,Third-party assured,Toyota Sustainability Data Book 2025,60,Third-party assured value; GHG Protocol Corporate Standard - Market-based; consolidated basis; Energy-related CO2 emissions
TYT,2025,Scope 2 (location-based),No,,,Not Stated,Not assured,Toyota Sustainability Data Book 2025,60,No location-based figures availalble; calculation method limited to market-based accounting
TYT,2025,Scope 3 Total,Yes,584.52,million t-CO₂e,Not Stated,Third-party assured,Toyota Sustainability Data Book 2025,61,"Emissions from consolidated companies and customers that are linked to the business activities of consolidated subsidiaries are covered. However, this year’s calculation scope is limited to the automotive sector, which represents the majority of sales. The scope covers all business areas for categories where it is difficult to separate data for each business."
