Fixed: TYT,FYE year,1–15,GHG Protocol category name,Yes/No/N/A,As-reported,Exact unit,"Boundary notes, methodology caveats"
company_id,fiscal_year,category_no,category_name,disclosed,value_reported,unit_reported,notes
TYT,2023,1,Purchased goods and services,Yes,122.47,million t-CO₂e,
TYT,2024,1,Purchased goods and services,Yes,129.88,million t-CO₂e,
TYT,2025,1,Purchased goods and services,Yes,126.33,million t-CO₂e,
TYT,2023,2,Capital goods,Yes,5.05,million t-CO₂e,
TYT,2024,2,Capital goods,Yes,6.09,million t-CO₂e,
TYT,2025,2,Capital goods,Yes,4.32,million t-CO₂e,
TYT,2023,3,Fuel- and energy-related activities (not S1/S2),Yes,1.2,million t-CO₂e,
TYT,2024,3,Fuel- and energy-related activities (not S1/S2),Yes,1,million t-CO₂e,
TYT,2025,3,Fuel- and energy-related activities (not S1/S2),Yes,1.04,million t-CO₂e,
TYT,2023,4,Upstream transportation and distribution,Yes,4.33,million t-CO₂e,
TYT,2024,4,Upstream transportation and distribution,Yes,4.57,million t-CO₂e,
TYT,2025,4,Upstream transportation and distribution,Yes,5.3,million t-CO₂e,
TYT,2023,5,Waste generated in operations,Yes,0.1,million t-CO₂e,
TYT,2024,5,Waste generated in operations,Yes,0.1,million t-CO₂e,
TYT,2025,5,Waste generated in operations,Yes,0.11,million t-CO₂e,
TYT,2023,6,Business travel,Yes,0.06,million t-CO₂e,
TYT,2024,6,Business travel,Yes,0.09,million t-CO₂e,
TYT,2025,6,Business travel,Yes,0.11,million t-CO₂e,
TYT,2023,7,Employee commuting,Yes,0.61,million t-CO₂e,
TYT,2024,7,Employee commuting,Yes,0.59,million t-CO₂e,
TYT,2025,7,Employee commuting,Yes,0.06,million t-CO₂e,
TYT,2023,8,Upstream leased assets,,,million t-CO₂e,Recorded under scope 1 and 2
TYT,2024,8,Upstream leased assets,,,million t-CO₂e,Recorded under scope 1 and 2
TYT,2025,8,Upstream leased assets,,,million t-CO₂e,Recorded under scope 1 and 2
TYT,2023,9,Downstream transportation and distribution,Yes,0.06,million t-CO₂e,
TYT,2024,9,Downstream transportation and distribution,Yes,0.1,million t-CO₂e,
TYT,2025,9,Downstream transportation and distribution,Yes,0.2,million t-CO₂e,
TYT,2023,10,Processing of sold products,Yes,0.01,million t-CO₂e,
TYT,2024,10,Processing of sold products,Yes,0.01,million t-CO₂e,
TYT,2025,10,Processing of sold products,Yes,0.01,million t-CO₂e,
TYT,2023,11,Use of sold products,Yes,439.45,million t-CO₂e,
TYT,2024,11,Use of sold products,Yes,436.28,million t-CO₂e,
TYT,2025,11,Use of sold products,Yes,432.16,million t-CO₂e,
TYT,2023,12,End-of-life treatment of sold products,Yes,11.23,million t-CO₂e,
TYT,2024,12,End-of-life treatment of sold products,Yes,12.14,million t-CO₂e,
TYT,2025,12,End-of-life treatment of sold products,Yes,12.09,million t-CO₂e,
TYT,2023,13,Downstream leased assets,No,,million t-CO₂e,No value disclosed
TYT,2024,13,Downstream leased assets,Yes,0.02,million t-CO₂e,
TYT,2025,13,Downstream leased assets,Yes,0.15,million t-CO₂e,
TYT,2023,14,Franchises,Yes,4.07,million t-CO₂e,
TYT,2024,14,Franchises,Yes,3.85,million t-CO₂e,
TYT,2025,14,Franchises,Yes,2.64,million t-CO₂e,
TYT,2023,15,Investments,Yes,0.13,million t-CO₂e,
TYT,2024,15,Investments,Yes,0.12,million t-CO₂e,
TYT,2025,15,Investments,Yes,0.02,million t-CO₂e,
